epoch, accuracy, loss,
1703,0.9,0.2752609141734,
1704,0.905,0.28128640072722,
1705,0.925,0.29462280298653,
1706,0.95,0.32054677883594,
1707,0.93,0.34567526885201,
1708,0.93,0.35379333205045,
1709,0.925,0.3748468227176,
1710,0.92,0.38472441167995,
1711,0.92,0.38089014300231,
1712,0.915,0.37396111471713,
1713,0.935,0.36259148103034,
1714,0.94,0.33574911588297,
1715,0.93,0.3176610082425,
1716,0.93,0.3077109820282,
1717,0.935,0.30168620752589,
1718,0.94,0.30330049418981,
1719,0.955,0.30871906275687,
1720,0.96,0.32683794420878,
1721,0.95,0.33375155421535,
1722,0.945,0.35291318538558,
1723,0.94,0.35287236592071,
1724,0.935,0.35265230278886,
1725,0.945,0.35152138575039,
1726,0.945,0.3508621567258,
1727,0.945,0.35246079038886,
1728,0.955,0.35412635714411,
1729,0.955,0.32120244494054,
1730,0.955,0.32124957342157,
1731,0.95,0.32269455919627,
1732,0.95,0.32500411172097,
1733,0.95,0.32813694811187,
1734,0.945,0.33798247791754,
1735,0.945,0.36753044477272,
1736,0.94,0.36591842020905,
1737,0.94,0.36418662349163,
1738,0.945,0.36210842378848,
1739,0.955,0.35988031438121,
1740,0.955,0.35803789313441,
1741,0.96,0.35823054652167,
1742,0.965,0.35675234648395,
1743,0.96,0.32029109290962,
1744,0.96,0.31887321708327,
1745,0.96,0.3185599497344,
1746,0.96,0.31923524585464,
1747,0.965,0.35471055389276,
1748,0.96,0.35502558514983,
1749,0.955,0.35576733142033,
1750,0.955,0.35671787161979,
1751,0.955,0.35758291950775,
1752,0.955,0.35816996630156,
1753,0.955,0.35843887444781,
1754,0.96,0.3584539188356,
1755,0.96,0.35828933136342,
1756,0.965,0.35798477928872,
1757,0.96,0.35749804739961,
1758,0.96,0.3568173466687,
1759,0.965,0.35595878664141,
1760,0.965,0.35502417938492,
1761,0.965,0.35413670673443,
1762,0.96,0.35340107361205,
1763,0.955,0.35287093092705,
1764,0.955,0.3517036752242,
1765,0.955,0.35138483818306,
1766,0.955,0.35137955191818,
1767,0.955,0.35163940598277,
1768,0.96,0.35208082845479,
1769,0.965,0.35251872305786,
1770,0.965,0.35272433657095,
1771,0.965,0.35289991244829,
1772,0.965,0.35297314564028,
1773,0.965,0.35292544909108,
1774,0.965,0.35277400184898,
1775,0.965,0.35253783434805,
1776,0.96,0.35209840130669,
1777,0.96,0.35163442289923,
1778,0.96,0.35125104521175,
1779,0.96,0.35096112650842,
1780,0.96,0.35076381882106,
1781,0.96,0.35065018409307,
1782,0.96,0.35059297698848,
1783,0.965,0.35044936598428,
1784,0.965,0.35022241308643,
1785,0.965,0.3499894904932,
1786,0.965,0.34974459291561,
1787,0.965,0.34951661883163,
1788,0.965,0.34943609590244,
1789,0.965,0.34916634749961,
1790,0.96,0.34896975895784,
1791,0.96,0.34884140950527,
1792,0.96,0.34876859716705,
1793,0.96,0.34874161468297,
1794,0.96,0.34872053709645,
1795,0.965,0.3486728588246,
1796,0.965,0.34858101570743,
1797,0.965,0.3484558303601,
1798,0.965,0.34828326507043,
1799,0.965,0.34806884980149,
1800,0.965,0.34782717325356,
1801,0.93,0.26827502683181,
1802,0.905,0.26110829566475,
1803,0.89,0.26647765096523,
1804,0.895,0.27452962704102,
1805,0.93,0.28828250297051,
1806,0.945,0.31806065342669,
1807,0.935,0.35034623314776,
1808,0.935,0.37061910099644,
1809,0.92,0.36523977181199,
1810,0.915,0.37366699077119,
1811,0.92,0.36885219313704,
1812,0.93,0.3631571352829,
1813,0.935,0.3522268226183,
1814,0.955,0.32206693532762,
1815,0.935,0.30908044870151,
1816,0.935,0.29487789267397,
1817,0.935,0.2881341696228,
1818,0.945,0.28786916112913,
1819,0.96,0.29769700930079,
1820,0.955,0.30715497506587,
1821,0.955,0.34542278937604,
1822,0.94,0.34087214319296,
1823,0.935,0.33774020062543,
1824,0.94,0.33617738470702,
1825,0.945,0.33545477052611,
1826,0.945,0.3313365730429,
1827,0.95,0.33265206814485,
1828,0.96,0.33751749373423,
1829,0.955,0.34442999594863,
1830,0.955,0.35087396722952,
1831,0.955,0.35488313866034,
1832,0.955,0.35598762557722,
1833,0.95,0.35501205178151,
1834,0.94,0.3532987207272,
1835,0.945,0.34975553239489,
1836,0.94,0.34782292925065,
1837,0.94,0.34806035550168,
1838,0.95,0.34555190565365,
1839,0.95,0.34287449630887,
1840,0.955,0.34072614167279,
1841,0.96,0.33963051680154,
1842,0.965,0.33858445016936,
1843,0.955,0.33787710482195,
1844,0.955,0.33768459251668,
1845,0.955,0.33766987316319,
1846,0.955,0.3377968820417,
1847,0.965,0.3382584555506,
1848,0.96,0.33917681400688,
1849,0.955,0.33793118468972,
1850,0.955,0.33846348275778,
1851,0.955,0.33921262634035,
1852,0.955,0.34001115650322,
1853,0.96,0.3407685113918,
1854,0.96,0.34146241961748,
1855,0.96,0.34205986403296,
1856,0.965,0.34234476721903,
1857,0.96,0.34158299219782,
1858,0.96,0.34067147790912,
1859,0.965,0.33967189411455,
1860,0.965,0.33970702303346,
1861,0.965,0.33841419486375,
1862,0.96,0.33728723276724,
1863,0.955,0.33645755505177,
1864,0.955,0.33597338601518,
1865,0.955,0.33582884593778,
1866,0.955,0.33595894791934,
1867,0.96,0.33630282996898,
1868,0.96,0.33679641537041,
1869,0.96,0.33732448614784,
1870,0.965,0.33776977804889,
1871,0.965,0.33803001780954,
1872,0.965,0.33806109764846,
1873,0.965,0.33785988098466,
1874,0.965,0.33749562267221,
1875,0.965,0.33706725963988,
1876,0.965,0.33665555535257,
1877,0.96,0.33632684292543,
1878,0.96,0.33609616090984,
1879,0.96,0.33597081907478,
1880,0.96,0.33590426303626,
1881,0.96,0.33586584739825,
1882,0.96,0.33581089960493,
1883,0.965,0.3357042343264,
1884,0.965,0.33551612075129,
1885,0.965,0.33525199284355,
1886,0.965,0.33493954701345,
1887,0.965,0.33460658467878,
1888,0.965,0.33430209607198,
1889,0.965,0.33406685252352,
1890,0.965,0.33390977869948,
1891,0.965,0.33383217521666,
1892,0.965,0.3338103747477,
1893,0.965,0.33383628381431,
1894,0.965,0.33388378271552,
1895,0.965,0.33390844706031,
1896,0.965,0.33387533770414,
1897,0.965,0.33374385813389,
1898,0.965,0.33352608582964,
1899,0.965,0.33323251574456,
1900,0.965,0.33289482011087,
1901,0.925,0.26507555987215,
1902,0.89,0.2463348561505,
1903,0.875,0.25486735681847,
1904,0.88,0.26302579632078,
1905,0.93,0.27632773203168,
1906,0.945,0.30657709679649,
1907,0.94,0.3242569844856,
1908,0.92,0.36312899360094,
1909,0.91,0.37358040730451,
1910,0.91,0.38330741885683,
1911,0.915,0.37054371062727,
1912,0.93,0.3459161381355,
1913,0.935,0.33014947841821,
1914,0.955,0.30898808188001,
1915,0.935,0.2921616071972,
1916,0.925,0.27682899674932,
1917,0.94,0.26948383926205,
1918,0.945,0.26902734799774,
1919,0.96,0.27760330289146,
1920,0.955,0.32102909623395,
1921,0.955,0.3244484697073,
1922,0.94,0.31886108666524,
1923,0.94,0.31676787478767,
1924,0.94,0.31587131147633,
1925,0.945,0.31568156279422,
1926,0.945,0.31813306463598,
1927,0.945,0.31603219964276,
1928,0.955,0.32369166917001,
1929,0.955,0.33349082191288,
1930,0.955,0.34516476862316,
1931,0.95,0.34895094812139,
1932,0.955,0.34862316499077,
1933,0.95,0.34568425565784,
1934,0.94,0.34193200859874,
1935,0.945,0.33868448425727,
1936,0.94,0.33608523321622,
1937,0.945,0.33360651148393,
1938,0.945,0.33102263393161,
1939,0.95,0.3287785409869,
1940,0.955,0.32761806802959,
1941,0.965,0.3264089868689,
1942,0.965,0.32457770028384,
1943,0.96,0.32417210535171,
1944,0.96,0.32423915374412,
1945,0.96,0.32434821701145,
1946,0.96,0.32450196715847,
1947,0.965,0.32496664880439,
1948,0.96,0.32457979935519,
1949,0.955,0.32462591724121,
1950,0.955,0.32525090633918,
1951,0.955,0.32614002580158,
1952,0.955,0.32709045176039,
1953,0.96,0.32804086939485,
1954,0.96,0.3289790377333,
1955,0.96,0.32984091121106,
1956,0.965,0.33003947907982,
1957,0.96,0.32932531385361,
1958,0.96,0.32836896414072,
1959,0.965,0.32719596887089,
1960,0.965,0.32710740953659,
1961,0.965,0.32544035536591,
1962,0.96,0.32400043038114,
1963,0.96,0.32295790987527,
1964,0.955,0.32238624181211,
1965,0.955,0.32225059017324,
1966,0.96,0.32248925877205,
1967,0.96,0.32301280974756,
1968,0.96,0.32370039226377,
1969,0.96,0.32441326861819,
1970,0.965,0.32499112524856,
1971,0.965,0.32528503278243,
1972,0.965,0.32525249787049,
1973,0.965,0.32493523754354,
1974,0.965,0.32445071279547,
1975,0.965,0.32391292815017,
1976,0.965,0.32344693568657,
1977,0.96,0.32309539367127,
1978,0.96,0.32287040625504,
1979,0.96,0.32276806256482,
1980,0.96,0.32276547180251,
1981,0.96,0.32283014225076,
1982,0.96,0.32287511522606,
1983,0.965,0.32285943804155,
1984,0.965,0.32273356023733,
1985,0.965,0.3224739450502,
1986,0.965,0.32208940344779,
1987,0.965,0.32163126622139,
1988,0.965,0.32117916813319,
1989,0.965,0.32079098606891,
1990,0.96,0.32052642439709,
1991,0.96,0.32040261389048,
1992,0.96,0.32039771941961,
1993,0.96,0.32048961506753,
1994,0.96,0.32060502170716,
1995,0.965,0.32070133689014,
1996,0.965,0.32073196141091,
1997,0.965,0.32069321478632,
1998,0.965,0.32058783041237,
1999,0.965,0.32043153980674,
2000,0.965,0.32023683467257,
2001,0.935,0.3069384902432,
2002,0.905,0.27246340821026,
2003,0.895,0.27597725313044,
2004,0.9,0.27817953592983,
2005,0.93,0.2920192443732,
2006,0.955,0.30375202568302,
2007,0.935,0.30556013031545,
2008,0.935,0.31057839452323,
2009,0.925,0.35887304967405,
2010,0.925,0.35065939036995,
2011,0.93,0.32866562142912,
2012,0.93,0.32930527044947,
2013,0.945,0.32863208149992,
2014,0.95,0.31748007872362,
2015,0.935,0.31047144314551,
2016,0.94,0.2593304326696,
2017,0.94,0.29431790400724,
2018,0.945,0.30022029201083,
2019,0.965,0.31137846823644,
2020,0.96,0.3144612498617,
2021,0.955,0.31577326517901,
2022,0.945,0.37432962094277,
2023,0.945,0.36881602550115,
2024,0.945,0.36811146521079,
2025,0.945,0.37151889760474,
2026,0.945,0.37181531743837,
2027,0.955,0.3062975889085,
2028,0.97,0.31332901103697,
2029,0.965,0.32588067067291,
2030,0.96,0.33137501107094,
2031,0.96,0.33352507162894,
2032,0.965,0.33256953817023,
2033,0.96,0.32928567344455,
2034,0.95,0.32558389698415,
2035,0.95,0.32249014518756,
2036,0.945,0.32010146950352,
2037,0.95,0.318160702924,
2038,0.95,0.31652229727161,
2039,0.95,0.31545011242294,
2040,0.96,0.31533936976039,
2041,0.96,0.31625855831871,
2042,0.965,0.31776949595571,
2043,0.96,0.31511654895223,
2044,0.96,0.31507535934918,
2045,0.96,0.31429693230407,
2046,0.965,0.31300584527627,
2047,0.96,0.31170299730017,
2048,0.96,0.31083279692512,
2049,0.96,0.31061918033201,
2050,0.955,0.31297450150356,
2051,0.955,0.31334761675945,
2052,0.96,0.31415546858271,
2053,0.96,0.31529221030804,
2054,0.96,0.31663415247909,
2055,0.96,0.31795127161947,
2056,0.965,0.31895956223694,
2057,0.965,0.31936854859179,
2058,0.965,0.31904876239066,
2059,0.965,0.31805734893144,
2060,0.965,0.31662209736184,
2061,0.96,0.31505038389158,
2062,0.96,0.31362933497142,
2063,0.96,0.31256463655238,
2064,0.96,0.31193201857909,
2065,0.96,0.31174608566522,
2066,0.96,0.31195980581994,
2067,0.96,0.3124965023095,
2068,0.96,0.31320862584278,
2069,0.965,0.31394335433918,
2070,0.965,0.31453868183773,
2071,0.965,0.31486373657771,
2072,0.965,0.31487242738362,
2073,0.965,0.31461917914615,
2074,0.965,0.31417682764943,
2075,0.965,0.31363686396346,
2076,0.96,0.31310598456132,
2077,0.96,0.31266616291751,
2078,0.96,0.31236686328868,
2079,0.96,0.31221128292105,
2080,0.96,0.31217781301507,
2081,0.96,0.31223718988621,
2082,0.965,0.31234511970244,
2083,0.965,0.31242650960307,
2084,0.965,0.31241590433448,
2085,0.965,0.31227294767016,
2086,0.965,0.31201540983096,
2087,0.965,0.31168324434839,
2088,0.965,0.31133788241379,
2089,0.96,0.31104987348528,
2090,0.96,0.31085918825398,
2091,0.96,0.3107659558255,
2092,0.96,0.31078951122183,
2093,0.96,0.31090684911021,
2094,0.965,0.31106502461895,
2095,0.965,0.31119626335737,
2096,0.965,0.31125965418259,
2097,0.965,0.3112173425517,
2098,0.965,0.31108839666083,
2099,0.965,0.31087156817757,
2100,0.965,0.31060567019971,
2101,0.95,0.31342796088723,
2102,0.925,0.29604722803505,
2103,0.915,0.3003372785565,
2104,0.915,0.2981918118226,
2105,0.945,0.29341237339795,
2106,0.955,0.29843174649836,
2107,0.935,0.29481417176134,
2108,0.94,0.2967921399318,
2109,0.935,0.30532541038194,
2110,0.93,0.31447780077597,
2111,0.93,0.32180111122202,
2112,0.935,0.32935316156435,
2113,0.95,0.33096202922196,
2114,0.955,0.32830136798281,
2115,0.945,0.31276797694651,
2116,0.935,0.30785439653347,
2117,0.945,0.3033942530431,
2118,0.945,0.32207178961113,
2119,0.96,0.3230254871193,
2120,0.965,0.31071687553138,
2121,0.955,0.30740004532903,
2122,0.945,0.36916893685674,
2123,0.945,0.36413894357826,
2124,0.945,0.36314125407186,
2125,0.945,0.36569671124323,
2126,0.945,0.37171271470181,
2127,0.955,0.34469402710479,
2128,0.97,0.30482129385526,
2129,0.965,0.31142007564994,
2130,0.965,0.31985638401481,
